product_id,type,home_site,engine_hrs,idle_hrs
D3-U01,Dozer,S001,2.0,10.0
216B3-U01,Skid Steer Loader,S001,8.0,8.0
239D3-U01,Skid Steer Loader,S001,3.0,0.0
320-U01,Excavator,S001,0.0,0.0
MD6250-U01,Drill,S001,0.0,2.0
239D3-U02,Skid Steer Loader,S001,0.0,12.0
320-U02,Excavator,S002,0.0,10.0
18-U01,Grader,S002,3.0,8.0
MD6200-U01,Drill,S002,0.0,0.0
320-U03,Excavator,S002,1.0,6.0
815-U01,Compactor,S002,3.0,4.0
336-U01,Excavator,S002,0.0,0.0
336-U02,Excavator,S006,5.0,2.0
D3-U02,Dozer,S006,3.0,10.0
216B3-U02,Skid Steer Loader,S006,3.0,2.0
MD6250-U02,Drill,S006,8.0,4.0
MD6250-U03,Drill,S006,1.0,4.0
815-U02,Compactor,S006,5.0,12.0
815-U03,Compactor,S003,3.0,4.0
330-UHD-U01,Excavator,S003,1.0,10.0
MD6250-U04,Drill,S003,3.0,0.0
239D3-U03,Skid Steer Loader,S003,0.0,12.0
D3-U03,Dozer,S003,2.0,6.0
216B3-U03,Skid Steer Loader,S003,8.0,8.0
330-UHD-U02,Excavator,S004,1.0,10.0
D11-U01,Dozer,S004,2.0,8.0
785-U01,Off-Highway Truck,S004,0.0,12.0
239D3-U04,Skid Steer Loader,S004,2.0,10.0
18-U02,Grader,S004,0.0,10.0
120-U01,Grader,S004,5.0,8.0
120-U02,Grader,S005,1.0,10.0
MD6250-U05,Drill,S005,0.0,6.0
D3-U04,Dozer,S005,3.0,0.0
MD6200-U02,Drill,S005,0.0,12.0
D3-U05,Dozer,S005,5.0,2.0
MD6250-U06,Drill,S005,8.0,6.0
