product_id,site_id,date,engine_hrs,fuel_l,engine_temp_c,_cum_hours
D3-U01,S001,2026-07-08,8.9,104.0,88.2,4781.8
D3-U01,S001,2026-07-09,7.6,89.9,89.9,4789.4
D3-U01,S001,2026-07-10,7.1,84.6,89.3,4796.4
D3-U01,S001,2026-07-11,7.4,88.8,88.8,4803.9
D3-U01,S001,2026-07-12,8.5,102.6,89.9,4812.4
D3-U01,S001,2026-07-13,7.0,84.8,89.7,4819.4
D3-U01,S001,2026-07-14,8.9,108.9,90.1,4828.3
D3-U01,S001,2026-07-15,5.7,70.3,89.8,4834.0
D3-U01,S001,2026-07-16,8.2,101.0,91.1,4842.2
D3-U01,S001,2026-07-17,7.6,94.7,91.6,4849.8
D3-U01,S001,2026-07-18,6.9,85.7,91.7,4856.7
D3-U01,S001,2026-07-19,6.8,85.5,92.0,4863.5
D3-U01,S001,2026-07-20,7.9,98.9,91.3,4871.4
D3-U01,S001,2026-07-21,5.7,72.0,92.1,4877.1
D3-U01,S001,2026-07-22,4.9,61.8,92.5,4881.9
D3-U01,S001,2026-07-23,7.8,100.6,92.3,4889.8
D3-U01,S001,2026-07-24,9.3,120.0,93.0,4899.1
D3-U01,S001,2026-07-25,9.6,124.7,92.3,4908.7
D3-U01,S001,2026-07-26,7.6,99.2,93.0,4916.4
D3-U01,S001,2026-07-27,10.2,133.7,92.5,4926.5
D3-U01,S001,2026-07-28,9.8,129.0,92.6,4936.3
D3-U01,S001,2026-07-29,8.3,110.0,94.5,4944.6
D3-U01,S001,2026-07-30,5.5,73.5,93.2,4950.1
D3-U01,S001,2026-07-31,7.5,100.0,93.4,4957.5
D3-U01,S001,2026-08-01,7.7,104.1,94.1,4965.2
D3-U01,S001,2026-08-02,8.3,111.9,94.7,4973.5
D3-U01,S001,2026-08-03,9.4,127.6,95.5,4982.9
D3-U01,S001,2026-08-04,7.2,98.0,95.4,4990.1
D3-U01,S001,2026-08-05,6.9,95.6,95.8,4997.1
D3-U01,S001,2026-08-06,6.7,92.2,95.9,5003.7
216B3-U01,S001,2026-07-08,10.0,118.9,89.7,4798.5
216B3-U01,S001,2026-07-09,7.0,83.8,89.6,4805.6
216B3-U01,S001,2026-07-10,6.5,77.3,90.6,4812.1
216B3-U01,S001,2026-07-11,7.4,89.3,90.4,4819.5
216B3-U01,S001,2026-07-12,8.4,102.2,90.6,4827.9
216B3-U01,S001,2026-07-13,9.8,118.9,90.2,4837.7
216B3-U01,S001,2026-07-14,9.6,118.3,91.5,4847.3
216B3-U01,S001,2026-07-15,8.4,103.7,91.3,4855.7
216B3-U01,S001,2026-07-16,9.0,111.1,90.5,4864.7
216B3-U01,S001,2026-07-17,5.9,72.9,91.0,4870.6
216B3-U01,S001,2026-07-18,8.2,103.8,92.1,4878.8
216B3-U01,S001,2026-07-19,10.3,130.3,91.3,4889.1
216B3-U01,S001,2026-07-20,7.8,99.9,92.2,4897.0
216B3-U01,S001,2026-07-21,9.8,125.2,92.8,4906.8
216B3-U01,S001,2026-07-22,5.5,71.1,92.6,4912.3
216B3-U01,S001,2026-07-23,5.0,63.9,92.5,4917.3
216B3-U01,S001,2026-07-24,5.1,66.8,93.4,4922.4
216B3-U01,S001,2026-07-25,7.3,95.5,93.9,4929.7
216B3-U01,S001,2026-07-26,6.9,90.1,93.6,4936.6
216B3-U01,S001,2026-07-27,8.7,114.6,93.6,4945.3
216B3-U01,S001,2026-07-28,7.0,93.0,94.2,4952.3
216B3-U01,S001,2026-07-29,8.4,111.6,94.1,4960.7
216B3-U01,S001,2026-07-30,6.8,90.8,95.2,4967.5
216B3-U01,S001,2026-07-31,5.2,70.4,93.9,4972.7
216B3-U01,S001,2026-08-01,8.4,114.6,95.1,4981.1
216B3-U01,S001,2026-08-02,5.7,77.6,94.2,4986.9
216B3-U01,S001,2026-08-03,9.1,124.8,95.8,4995.9
216B3-U01,S001,2026-08-04,9.2,126.4,94.7,5005.2
216B3-U01,S001,2026-08-05,6.7,93.4,95.6,5011.9
216B3-U01,S001,2026-08-06,4.3,60.4,95.6,5016.2
239D3-U01,S001,2026-07-08,6.7,73.1,89.6,4584.7
239D3-U01,S001,2026-07-09,8.8,97.2,90.5,4593.5
239D3-U01,S001,2026-07-10,8.7,98.3,90.2,4602.2
239D3-U01,S001,2026-07-11,7.5,85.3,91.2,4609.7
239D3-U01,S001,2026-07-12,7.4,84.3,91.9,4617.1
239D3-U01,S001,2026-07-13,8.5,98.6,92.6,4625.6
239D3-U01,S001,2026-07-14,6.8,80.9,92.1,4632.4
239D3-U01,S001,2026-07-15,3.9,46.5,92.5,4636.3
239D3-U01,S001,2026-07-16,7.4,90.3,93.4,4643.7
239D3-U01,S001,2026-07-17,9.8,119.6,95.2,4653.5
239D3-U01,S001,2026-07-18,7.5,94.1,95.7,4660.9
239D3-U01,S001,2026-07-19,7.2,92.1,96.4,4668.1
239D3-U01,S001,2026-07-20,3.7,47.7,95.3,4671.9
239D3-U01,S001,2026-07-21,5.6,73.0,97.5,4677.4
239D3-U01,S001,2026-07-22,9.8,128.5,97.6,4687.2
239D3-U01,S001,2026-07-23,8.0,106.6,98.8,4695.2
239D3-U01,S001,2026-07-24,9.8,132.4,99.0,4705.0
239D3-U01,S001,2026-07-25,6.7,90.9,98.9,4711.6
239D3-U01,S001,2026-07-26,7.7,106.8,99.8,4719.3
239D3-U01,S001,2026-07-27,3.6,51.0,101.4,4722.9
239D3-U01,S001,2026-07-28,5.8,82.8,102.1,4728.7
239D3-U01,S001,2026-07-29,10.7,155.0,101.8,4739.4
239D3-U01,S001,2026-07-30,7.5,109.0,102.5,4746.9
239D3-U01,S001,2026-07-31,7.0,101.8,102.4,4753.9
239D3-U01,S001,2026-08-01,4.3,62.9,102.9,4758.2
239D3-U01,S001,2026-08-02,6.2,93.4,104.2,4764.4
239D3-U01,S001,2026-08-03,8.2,124.8,105.5,4772.6
239D3-U01,S001,2026-08-04,9.2,141.0,106.1,4781.8
239D3-U01,S001,2026-08-05,7.3,113.5,107.3,4789.1
239D3-U01,S001,2026-08-06,7.7,119.6,106.0,4796.8
320-U01,S001,2026-07-08,8.1,82.6,81.4,2762.4
320-U01,S001,2026-07-09,9.0,91.6,81.8,2771.4
320-U01,S001,2026-07-10,8.3,85.6,83.6,2779.7
320-U01,S001,2026-07-11,5.7,58.9,83.2,2785.4
320-U01,S001,2026-07-12,8.5,87.7,83.7,2793.9
320-U01,S001,2026-07-13,9.8,103.4,83.1,2803.7
320-U01,S001,2026-07-14,8.2,86.4,84.4,2812.0
320-U01,S001,2026-07-15,6.3,66.4,84.3,2818.3
320-U01,S001,2026-07-16,5.9,63.5,83.9,2824.2
320-U01,S001,2026-07-17,6.7,72.0,85.6,2830.9
320-U01,S001,2026-07-18,8.0,87.1,84.9,2838.9
320-U01,S001,2026-07-19,6.9,74.8,86.0,2845.8
320-U01,S001,2026-07-20,5.0,54.3,86.2,2850.8
320-U01,S001,2026-07-21,7.1,77.2,85.9,2857.9
320-U01,S001,2026-07-22,5.7,62.8,86.0,2863.6
320-U01,S001,2026-07-23,9.1,100.6,87.1,2872.7
320-U01,S001,2026-07-24,8.7,97.3,86.6,2881.4
320-U01,S001,2026-07-25,8.7,98.5,86.8,2890.1
320-U01,S001,2026-07-26,8.2,93.3,87.3,2898.3
320-U01,S001,2026-07-27,5.8,65.5,87.5,2904.1
320-U01,S001,2026-07-28,8.6,98.5,88.3,2912.7
320-U01,S001,2026-07-29,5.7,65.3,88.9,2918.4
320-U01,S001,2026-07-30,8.7,100.7,89.0,2927.0
320-U01,S001,2026-07-31,6.8,78.2,89.4,2933.8
320-U01,S001,2026-08-01,8.6,100.2,89.6,2942.3
